"Name.href","Name.text","brewery.href","brewery.text","style","rating","alc_content","ibu","rating_count","date_added","index","url"
"https://untappd.com/b/goose-island-beer-co-rare-bourbon-county-brand-stout/11024","Rare Bourbon County Brand Stout (2010)","https://untappd.com/brewery/2898","Goose Island Beer Co.","Stout - American Imperial / Double","(4.77)","13% ABV","60 IBU","5,123 Ratings","Added 11/26/10","1","https://untappd.com/beer/top_rated"
"https://untappd.com/b/goose-island-beer-co-proprietor-s-bourbon-county-brand-stout-2014/860942","Proprietor's Bourbon County Brand Stout (2014)","https://untappd.com/brewery/2898","Goose Island Beer Co.","Stout - American Imperial / Double","(4.73)","13.2% ABV","N/A IBU","6,905 Ratings","Added 10/30/14","2","https://untappd.com/beer/top_rated"
"https://untappd.com/b/cigar-city-brewing-double-barrel-hunahpu/489624","Double Barrel Hunahpu's","https://untappd.com/brewery/379","Cigar City Brewing","Stout - American Imperial / Double","(4.72)","11.5% ABV","N/A IBU","4,506 Ratings","Added 10/27/13","3","https://untappd.com/beer/top_rated"
"https://untappd.com/b/goose-island-beer-co-proprietor-s-bourbon-county-brand-stout-2013/484265","Proprietor's Bourbon County Brand Stout (2013)","https://untappd.com/brewery/2898","Goose Island Beer Co.","Stout - American Imperial / Double","(4.71)","14.1% ABV","N/A IBU","6,814 Ratings","Added 10/22/13","4","https://untappd.com/beer/top_rated"
"https://untappd.com/b/perennial-artisan-ales-barrel-aged-abraxas/264563","Barrel-Aged Abraxas","https://untappd.com/brewery/3533","Perennial Artisan Ales","Stout - American Imperial / Double","(4.67)","11.2% ABV","60 IBU","3,290 Ratings","Added 11/17/12","5","https://untappd.com/beer/top_rated"
"https://untappd.com/b/russian-river-brewing-company-pliny-the-younger/28331","Pliny the Younger","https://untappd.com/brewery/5143","Russian River Brewing Company","IPA - Triple","(4.67)","10.25% ABV","90 IBU","11,296 Ratings","Added 02/03/11","6","https://untappd.com/beer/top_rated"
"https://untappd.com/b/founders-brewing-co-canadian-breakfast-stout-cbs/5755","Canadian Breakfast Stout (CBS)","https://untappd.com/brewery/549","Founders Brewing Co.","Stout - American Imperial / Double","(4.67)","10.6% ABV","N/A IBU","12,966 Ratings","Added 08/21/10","7","https://untappd.com/beer/top_rated"
"https://untappd.com/b/the-alchemist-heady-topper/4691","Heady Topper","https://untappd.com/brewery/1244","The Alchemist","IPA - Imperial / Double","(4.67)","8% ABV","100 IBU","89,330 Ratings","Added 08/21/10","8","https://untappd.com/beer/top_rated"
"https://untappd.com/b/goose-island-beer-co-king-henry/43152","King Henry","https://untappd.com/brewery/2898","Goose Island Beer Co.","Barleywine - English","(4.65)","13.4% ABV","60 IBU","4,358 Ratings","Added 04/11/11","9","https://untappd.com/beer/top_rated"
"https://untappd.com/b/goose-island-beer-co-bourbon-county-brand-vanilla-stout-2010/10068","Bourbon County Brand Vanilla Stout (2010)","https://untappd.com/brewery/2898","Goose Island Beer Co.","Stout - American Imperial / Double","(4.65)","13% ABV","60 IBU","4,321 Ratings","Added 11/19/10","10","https://untappd.com/beer/top_rated"
"https://untappd.com/b/tree-house-brewing-company-good-morning/808915","Good Morning","https://untappd.com/brewery/20084","Tree House Brewing Company","Stout - American Imperial / Double","(4.64)","8.4% ABV","65 IBU","2,866 Ratings","Added 09/12/14","11","https://untappd.com/beer/top_rated"
"https://untappd.com/b/toppling-goliath-brewing-assassin-2014-gold-wax/763835","Assassin (2014) (Gold Wax)","https://untappd.com/brewery/7532","Toppling Goliath Brewing","Stout - American Imperial / Double","(4.61)","12.8% ABV","N/A IBU","2,577 Ratings","Added 07/31/14","12","https://untappd.com/beer/top_rated"
"https://untappd.com/b/maine-beer-company-dinner/519536","Dinner","https://untappd.com/brewery/2874","Maine Beer Company","IPA - Imperial / Double","(4.61)","8.2% ABV","70 IBU","7,842 Ratings","Added 11/30/13","13","https://untappd.com/beer/top_rated"
"https://untappd.com/b/3-floyds-brewing-company-bourbon-barrel-aged-dark-lord-with-vanilla-beans/307468","Bourbon Barrel Aged Dark Lord with Vanilla Beans","https://untappd.com/brewery/2470","3 Floyds Brewing Company","Stout - Russian Imperial","(4.61)","15% ABV","N/A IBU","1,868 Ratings","Added 02/08/13","14","https://untappd.com/beer/top_rated"
"https://untappd.com/b/brouwerij-de-sint-sixtusabdij-van-westvleteren-trappist-westvleteren-12/4680","Trappist Westvleteren 12","https://untappd.com/brewery/263","Brouwerij De Sint-Sixtusabdij van Westvleteren","Belgian Quad","(4.6)","10.2% ABV","38 IBU","40,198 Ratings","Added 08/21/10","15","https://untappd.com/beer/top_rated"
"https://untappd.com/b/goose-island-beer-co-bourbon-county-brand-coffee-stout/5817","Bourbon County Brand Coffee Stout","https://untappd.com/brewery/2898","Goose Island Beer Co.","Stout - American Imperial / Double","(4.59)","13.4% ABV","60 IBU","23,341 Ratings","Added 08/21/10","16","https://untappd.com/beer/top_rated"
"https://untappd.com/b/lawson-s-finest-liquids-double-sunshine/26308","Double Sunshine","https://untappd.com/brewery/3758","Lawson's Finest Liquids","IPA - Imperial / Double","(4.59)","8% ABV","N/A IBU","4,861 Ratings","Added 01/24/11","17","https://untappd.com/beer/top_rated"
"https://untappd.com/b/toppling-goliath-brewing-mornin-delight/72430","Mornin' Delight","https://untappd.com/brewery/7532","Toppling Goliath Brewing","Stout - American Imperial / Double","(4.58)","12% ABV","N/A IBU","1,760 Ratings","Added 08/16/11","18","https://untappd.com/beer/top_rated"
"https://untappd.com/b/russian-river-brewing-company-pliny-the-elder/4499","Pliny the Elder","https://untappd.com/brewery/5143","Russian River Brewing Company","IPA - Imperial / Double","(4.58)","8% ABV","100 IBU","111,612 Ratings","Added 08/21/10","19","https://untappd.com/beer/top_rated"
"https://untappd.com/b/founders-brewing-co-kentucky-breakfast-stout-kbs/9681","Kentucky Breakfast Stout (KBS)","https://untappd.com/brewery/549","Founders Brewing Co.","Stout - American Imperial / Double","(4.56)","11.2% ABV","70 IBU","57,154 Ratings","Added 11/18/10","20","https://untappd.com/beer/top_rated"
"https://untappd.com/b/brasserie-cantillon-fou-foune/17663","Fou' Foune","https://untappd.com/brewery/202","Brasserie Cantillon","Lambic","(4.56)","5% ABV","N/A IBU","7,452 Ratings","Added 12/26/10","21","https://untappd.com/beer/top_rated"
"https://untappd.com/b/goose-island-beer-co-bourbon-county-brand-stout-backyard-rye-2013/891361","Bourbon County Brand Stout Backyard Rye (2013)","https://untappd.com/brewery/2898","Goose Island Beer Co.","Stout - American Imperial / Double","(4.55)","12.7% ABV","N/A IBU","11,801 Ratings","Added 11/27/14","22","https://untappd.com/beer/top_rated"
"https://untappd.com/b/the-bruery-chocolate-rain/10200","Chocolate Rain","https://untappd.com/brewery/1246","The Bruery","Stout - American Imperial / Double","(4.55)","19.5% ABV","N/A IBU","6,722 Ratings","Added 11/20/10","23","https://untappd.com/beer/top_rated"
"https://untappd.com/b/hill-farmstead-brewery-abner/25843","Abner","https://untappd.com/brewery/2562","Hill Farmstead Brewery","IPA - Imperial / Double","(4.55)","8.2% ABV","N/A IBU","9,664 Ratings","Added 01/22/11","24","https://untappd.com/beer/top_rated"
"https://untappd.com/b/toppling-goliath-brewing-sr-71-barrel-aged/1005596","SR-71 (Barrel Aged)","https://untappd.com/brewery/7532","Toppling Goliath Brewing","Stout - American Imperial / Double","(4.54)","14% ABV","N/A IBU","1,558 Ratings","Added 03/10/15","25","https://untappd.com/beer/top_rated"
"https://untappd.com/b/cigar-city-brewing-hunahpu-s-imperial-stout/9060","Hunahpu’s Imperial Stout","https://untappd.com/brewery/379","Cigar City Brewing","Stout - American Imperial / Double","(4.54)","11.5% ABV","N/A IBU","13,422 Ratings","Added 11/13/10","26","https://untappd.com/beer/top_rated"
"https://untappd.com/b/the-lost-abbey-duck-duck-gooze/22085","Duck Duck Gooze","https://untappd.com/brewery/2712","The Lost Abbey","Gueuze","(4.54)","7% ABV","N/A IBU","3,204 Ratings","Added 01/06/11","27","https://untappd.com/beer/top_rated"
"https://untappd.com/b/firestone-walker-brewing-company-parabola/7936","Parabola","https://untappd.com/brewery/524","Firestone Walker Brewing Company","Stout - Russian Imperial","(4.54)","14% ABV","82 IBU","8,903 Ratings","Added 11/07/10","28","https://untappd.com/beer/top_rated"
"https://untappd.com/b/goose-island-beer-co-bourbon-county-brand-stout-2013-14-2-abv-version/522959","Bourbon County Brand Stout (2013, 14.2% ABV Version)","https://untappd.com/brewery/2898","Goose Island Beer Co.","Stout - American Imperial / Double","(4.53)","14.2% ABV","N/A IBU","2,551 Ratings","Added 12/05/13","29","https://untappd.com/beer/top_rated"
"https://untappd.com/b/goose-island-beer-co-bourbon-county-brand-stout-cherry-rye/165103","Bourbon County Brand Stout Cherry Rye","https://untappd.com/brewery/2898","Goose Island Beer Co.","Stout - American Imperial / Double","(4.53)","13.7% ABV","60 IBU","6,656 Ratings","Added 04/27/12","30","https://untappd.com/beer/top_rated"
"https://untappd.com/b/new-glarus-brewing-company-r-d-sour-fruit/445264","R & D Sour Fruit","https://untappd.com/brewery/907","New Glarus Brewing Company","Sour Ale","(4.53)","5% ABV","12 IBU","1,202 Ratings","Added 09/02/13","31","https://untappd.com/beer/top_rated"
"https://untappd.com/b/alesmith-brewing-company-speedway-stout-barrel-aged-vietnamese/699265","Speedway Stout (Barrel Aged Vietnamese)","https://untappd.com/brewery/2471","AleSmith Brewing Company","Stout - American Imperial / Double","(4.53)","12% ABV","N/A IBU","2,119 Ratings","Added 05/31/14","32","https://untappd.com/beer/top_rated"
"https://untappd.com/b/hill-farmstead-brewery-double-citra/53192","Double Citra","https://untappd.com/brewery/2562","Hill Farmstead Brewery","IPA - Imperial / Double","(4.53)","8% ABV","N/A IBU","7,908 Ratings","Added 05/27/11","33","https://untappd.com/beer/top_rated"
"https://untappd.com/b/toppling-goliath-brewing-kentucky-brunch/131332","Kentucky Brunch","https://untappd.com/brewery/7532","Toppling Goliath Brewing","Stout - American Imperial / Double","(4.53)","12% ABV","N/A IBU","742 Ratings","Added 02/12/12","34","https://untappd.com/beer/top_rated"
"https://untappd.com/b/the-bruery-black-tuesday/6953","Black Tuesday","https://untappd.com/brewery/1246","The Bruery","Stout - American Imperial / Double","(4.52)","19.2% ABV","40 IBU","9,524 Ratings","Added 10/29/10","35","https://untappd.com/beer/top_rated"
"https://untappd.com/b/the-alchemist-focal-banger/45458","Focal Banger","https://untappd.com/brewery/1244","The Alchemist","IPA - American","(4.52)","7% ABV","N/A IBU","11,991 Ratings","Added 04/22/11","36","https://untappd.com/beer/top_rated"
